               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.039203,            0.011769,                   0,             0.94062,             0.90242,             0.93351,             0.58162,            0.034406,             0.01078,                   0,            0.009671,            0.009671,            0.009671
                 132,            0.039022,             0.01166,                   0,             0.94844,             0.91001,             0.93668,             0.58316,            0.033763,            0.010632,                   0,            0.009666,            0.009666,            0.009666
                 133,            0.039153,            0.011842,                   0,             0.93893,             0.92203,             0.93874,             0.57707,            0.034841,             0.01068,                   0,            0.009661,            0.009661,            0.009661
                 134,            0.039396,            0.011733,                   0,             0.95439,             0.90981,             0.93479,             0.59271,            0.033867,            0.010691,                   0,           0.0096559,           0.0096559,           0.0096559
                 135,            0.039665,            0.011581,                   0,             0.94967,             0.90705,             0.94171,             0.58968,            0.034274,            0.010756,                   0,           0.0096508,           0.0096508,           0.0096508
                 136,             0.04133,            0.011314,                   0,             0.95739,             0.91304,             0.94353,             0.59544,            0.033663,            0.010652,                   0,           0.0096456,           0.0096456,           0.0096456
                 137,             0.04172,            0.013702,                   0,             0.97244,             0.89916,             0.94938,             0.59561,            0.034131,              0.0107,                   0,           0.0096404,           0.0096404,           0.0096404
                 138,             0.04037,            0.011264,                   0,             0.94999,             0.91304,             0.94446,             0.58429,            0.034019,            0.010842,                   0,           0.0096352,           0.0096352,           0.0096352
                 139,            0.038261,            0.012192,                   0,             0.95847,             0.91154,             0.94574,             0.58973,             0.03313,            0.010596,                   0,           0.0096299,           0.0096299,           0.0096299
                 140,            0.037954,            0.012032,                   0,             0.93888,             0.92204,             0.94342,             0.59677,             0.03264,             0.01058,                   0,           0.0096246,           0.0096246,           0.0096246
                 141,            0.040169,            0.011411,                   0,             0.94583,             0.91754,             0.94086,             0.57557,            0.034476,            0.010751,                   0,           0.0096193,           0.0096193,           0.0096193
                 142,            0.042097,            0.012037,                   0,             0.94316,             0.92038,             0.94509,              0.5762,            0.034192,            0.010802,                   0,           0.0096139,           0.0096139,           0.0096139
                 143,            0.038459,            0.011401,                   0,              0.9528,             0.91304,             0.94049,             0.59049,            0.033526,            0.010673,                   0,           0.0096085,           0.0096085,           0.0096085
                 144,            0.040048,            0.012482,                   0,             0.96499,             0.92054,             0.95312,             0.56729,            0.034161,            0.010692,                   0,           0.0096031,           0.0096031,           0.0096031
                 145,             0.03953,            0.011682,                   0,             0.95762,             0.92054,             0.94959,              0.5756,            0.034656,            0.010816,                   0,           0.0095976,           0.0095976,           0.0095976
                 146,            0.039584,            0.012768,                   0,             0.96928,             0.90705,             0.94361,             0.59908,            0.032881,            0.010564,                   0,           0.0095921,           0.0095921,           0.0095921
                 147,            0.041646,             0.01181,                   0,             0.96647,             0.91154,             0.95039,             0.61045,            0.032399,            0.010445,                   0,           0.0095866,           0.0095866,           0.0095866
                 148,            0.038887,            0.011237,                   0,             0.96196,             0.90994,             0.94697,             0.61347,            0.032073,            0.010437,                   0,            0.009581,            0.009581,            0.009581
                 149,            0.036119,             0.01199,                   0,             0.94327,             0.92654,             0.95039,              0.6107,            0.032969,            0.010429,                   0,           0.0095754,           0.0095754,           0.0095754
                 150,            0.037248,            0.012531,                   0,             0.94769,             0.92352,             0.94578,             0.59772,            0.034516,            0.010646,                   0,           0.0095697,           0.0095697,           0.0095697
                 151,            0.037684,            0.011479,                   0,             0.95396,             0.93403,             0.94835,              0.5989,             0.03239,            0.010317,                   0,            0.009564,            0.009564,            0.009564
                 152,            0.041044,            0.011931,                   0,             0.94623,             0.92336,             0.94394,              0.5999,            0.033411,            0.010373,                   0,           0.0095583,           0.0095583,           0.0095583
